iter	Passed	Remaining
712	57022	22953
713	57102	22873
714	57178	22791
715	57259	22712
716	57344	22633
717	57401	22544
718	57492	22469
719	57575	22390
720	57672	22317
721	57749	22236
722	57819	22152
723	57894	22070
724	57980	21992
725	58059	21912
726	58135	21830
727	58220	21752
728	58315	21678
729	58406	21602
730	58492	21524
731	58583	21448
732	58677	21373
733	58760	21294
734	58832	21211
735	58895	21125
736	58960	21040
737	59072	20971
738	59200	20908
739	59306	20837
740	59426	20771
741	59539	20702
742	59653	20633
743	59731	20552
744	59815	20473
745	59901	20395
746	59993	20319
747	60079	20240
748	60160	20160
749	60225	20075
750	60309	19996
751	60375	19911
752	60447	19828
753	60536	19750
754	60604	19666
755	60689	19587
756	60759	19503
757	60820	19417
758	60894	19335
759	60974	19255
760	61046	19172
761	61131	19093
762	61203	19010
763	61279	18929
764	61347	18845
765	61423	18763
766	61516	18687
767	61592	18605
768	61666	18524
769	61737	18441
770	61817	18360
771	61901	18281
772	61969	18197
773	62054	18119
774	62138	18040
775	62214	17958
776	62283	17875
777	62350	17791
778	62422	17709
779	62493	17626
780	62561	17542
781	62636	17461
782	62711	17379
783	62806	17303
784	62889	17224
785	62968	17144
786	63052	17065
787	63134	16985
788	63213	16904
789	63277	16820
790	63375	16745
791	63461	16666
792	63547	16587
793	63636	16510
794	63713	16429
795	63784	16346
796	63864	16266
797	63927	16182
798	63998	16099
799	64077	16019
800	64156	15938
801	64231	15857
802	64309	15777
803	64392	15697
804	64457	15613
805	64532	15532
806	64604	15450
807	64672	15367
808	64761	15289
809	64840	15209
810	64910	15127
811	65008	15051
812	65079	14969
813	65158	14888
814	65237	14808
815	65311	14727
816	65379	14644
817	65455	14563
818	65542	14484
819	65613	14402
820	65703	14325
821	65768	14241
822	65838	14159
823	65920	14080
824	65982	13996
825	66055	13914
826	66126	13833
827	66211	13754
828	66290	13673
829	66368	13593
830	66445	13513
831	66517	13431
832	66589	13349
833	66657	13267
834	66740	13188
835	66822	13108
836	66888	13026
837	66976	12947
838	67056	12867
839	67136	12787
840	67203	12705
841	67287	12626
842	67364	12545
843	67439	12465
844	67525	12386
845	67592	12304
846	67680	12225
847	67774	12148
848	67845	12066
849	67936	11988
850	68014	11908
851	68100	11829
852	68168	11747
853	68249	11668
854	68335	11589
855	68411	11508
856	68490	11428
857	68565	11347
858	68646	11267
859	68736	11189
860	68812	11109
861	68888	11028
862	68963	10947
863	69038	10867
864	69133	10789
865	69223	10711
866	69299	10630
867	69374	10550
868	69460	10471
869	69537	10390
870	69603	10308
871	69667	10226
872	69747	10146
873	69832	10067
874	69912	9987
875	69986	9906
876	70062	9826
877	70137	9745
878	70224	9666
879	70296	9585
880	70370	9505
881	70453	9425
882	70530	9345
883	70605	9264
884	70680	9184
885	70753	9103
886	70834	9024
887	70904	8942
888	70977	8862
889	71071	8784
890	71170	8706
891	71250	8626
892	71341	8548
893	71436	8470
894	71529	8391
895	71636	8314
896	71717	8235
897	71775	8152
898	71856	8072
899	71951	7994
900	72047	7916
901	72147	7838
902	72255	7761
